Customer_ID,Country,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore,Category
53.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
54.0,All,40,14.0,546,3,1,1,311,Almost Lost
54.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
55.0,All,102,12.0,468,3,1,1,311,Almost Lost
55.0,Country 1,102,12.0,468,3,1,1,311,Almost Lost
56.0,All,163,10.0,390,4,1,2,412,Loyal Customers
56.0,Country 1,163,10.0,390,4,1,2,412,Loyal Customers
57.0,All,40,14.0,546,3,1,1,311,Almost Lost
57.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
58.0,All,11,15.0,585,1,1,1,111,Best Customers
58.0,Country 1,11,15.0,585,1,1,1,111,Best Customers
59.0,All,40,14.0,1246,3,1,1,311,Almost Lost
59.0,Country 1,40,14.0,1246,3,1,1,311,Almost Lost
60.0,All,40,14.0,1246,3,1,1,311,Almost Lost
60.0,Country 1,40,14.0,1246,3,1,1,311,Almost Lost
61.0,All,40,14.0,1246,3,1,1,311,Almost Lost
61.0,Country 1,40,14.0,1246,3,1,1,311,Almost Lost
62.0,All,193,9.0,801,4,1,1,411,Lost Customers
62.0,Country 1,193,9.0,801,4,1,1,411,Lost Customers
63.0,All,193,9.0,801,4,1,1,411,Lost Customers
63.0,Country 1,193,9.0,801,4,1,1,411,Lost Customers
64.0,All,40,14.0,1246,3,1,1,311,Almost Lost
64.0,Country 1,40,14.0,1246,3,1,1,311,Almost Lost
65.0,All,163,10.0,890,4,1,1,411,Lost Customers
65.0,Country 1,163,10.0,890,4,1,1,411,Lost Customers
66.0,All,132,11.0,979,4,1,1,411,Lost Customers
66.0,Country 1,132,11.0,979,4,1,1,411,Lost Customers
67.0,All,71,13.0,1157,3,1,1,311,Almost Lost
67.0,Country 1,71,13.0,1157,3,1,1,311,Almost Lost
68.0,All,132,11.0,429,4,1,1,411,Lost Customers
68.0,Country 1,132,11.0,429,4,1,1,411,Lost Customers
69.0,All,40,14.0,1246,3,1,1,311,Almost Lost
69.0,Country 1,40,14.0,1246,3,1,1,311,Almost Lost
70.0,All,40,14.0,1246,3,1,1,311,Almost Lost
70.0,Country 1,40,14.0,1246,3,1,1,311,Almost Lost
71.0,All,11,15.0,1335,1,1,1,111,Best Customers
71.0,Country 1,11,15.0,1335,1,1,1,111,Best Customers
72.0,All,11,15.0,1335,1,1,1,111,Best Customers
72.0,Country 1,11,15.0,1335,1,1,1,111,Best Customers
73.0,All,102,12.0,1188,3,1,1,311,Almost Lost
73.0,Country 1,102,12.0,1188,3,1,1,311,Almost Lost
74.0,All,163,10.0,990,4,1,1,411,Lost Customers
74.0,Country 1,163,10.0,990,4,1,1,411,Lost Customers
75.0,All,40,14.0,1386,3,1,1,311,Almost Lost
75.0,Country 1,40,14.0,1386,3,1,1,311,Almost Lost
76.0,All,40,14.0,1386,3,1,1,311,Almost Lost
76.0,Country 1,40,14.0,1386,3,1,1,311,Almost Lost
77.0,All,163,10.0,990,4,1,1,411,Lost Customers
77.0,Country 1,163,10.0,990,4,1,1,411,Lost Customers
78.0,All,11,15.0,1485,1,1,1,111,Best Customers
78.0,Country 1,11,15.0,1485,1,1,1,111,Best Customers
79.0,All,40,14.0,1246,3,1,1,311,Almost Lost
79.0,Country 1,40,14.0,1246,3,1,1,311,Almost Lost
80.0,All,40,14.0,1386,3,1,1,311,Almost Lost
80.0,Country 1,40,14.0,1386,3,1,1,311,Almost Lost
81.0,All,40,14.0,1246,3,1,1,311,Almost Lost
81.0,Country 1,40,14.0,1246,3,1,1,311,Almost Lost
82.0,All,40,14.0,546,3,1,1,311,Almost Lost
82.0,Country 1,40,14.0,546,3,1,1,311,Almost Lost
83.0,All,40,14.0,1246,3,1,1,311,Almost Lost
83.0,Country 1,40,14.0,1246,3,1,1,311,Almost Lost
84.0,All,163,10.0,390,4,1,2,412,Loyal Customers
84.0,Country 1,163,10.0,390,4,1,2,412,Loyal Customers
85.0,All,70,13.0,507,3,1,1,311,Almost Lost
85.0,Country 1,70,13.0,507,3,1,1,311,Almost Lost
86.0,All,101,12.0,1068,3,1,1,311,Almost Lost
86.0,Country 1,101,12.0,1068,3,1,1,311,Almost Lost
87.0,All,39,14.0,1246,3,1,1,311,Almost Lost
87.0,Country 1,39,14.0,1246,3,1,1,311,Almost Lost
88.0,All,38,14.0,546,3,1,1,311,Almost Lost
88.0,Country 1,38,14.0,546,3,1,1,311,Almost Lost
89.0,All,9,15.0,585,1,1,1,111,Best Customers
89.0,Country 1,9,15.0,585,1,1,1,111,Best Customers
90.0,All,9,15.0,1335,1,1,1,111,Best Customers
90.0,Country 1,9,15.0,1335,1,1,1,111,Best Customers
91.0,All,9,15.0,1485,1,1,1,111,Best Customers
91.0,Country 1,9,15.0,1485,1,1,1,111,Best Customers
92.0,All,37,14.0,546,3,1,1,311,Almost Lost
92.0,Country 1,37,14.0,546,3,1,1,311,Almost Lost
93.0,All,37,14.0,546,3,1,1,311,Almost Lost
93.0,Country 1,37,14.0,546,3,1,1,311,Almost Lost
94.0,All,129,11.0,429,4,1,1,411,Lost Customers
94.0,Country 1,129,11.0,429,4,1,1,411,Lost Customers
95.0,All,37,14.0,546,3,1,1,311,Almost Lost
95.0,Country 1,37,14.0,546,3,1,1,311,Almost Lost
96.0,All,36,14.0,546,3,1,1,311,Almost Lost
96.0,Country 1,36,14.0,546,3,1,1,311,Almost Lost
97.0,All,36,14.0,546,3,1,1,311,Almost Lost
97.0,Country 1,36,14.0,546,3,1,1,311,Almost Lost
98.0,All,98,12.0,468,3,1,1,311,Almost Lost
98.0,Country 1,98,12.0,468,3,1,1,311,Almost Lost
99.0,All,36,14.0,1386,3,1,1,311,Almost Lost
99.0,Country 1,36,14.0,1386,3,1,1,311,Almost Lost
100.0,All,36,14.0,1386,3,1,1,311,Almost Lost
100.0,Country 1,36,14.0,1386,3,1,1,311,Almost Lost
101.0,All,188,9.0,351,4,1,2,412,Loyal Customers
101.0,Country 1,188,9.0,351,4,1,2,412,Loyal Customers
102.0,All,35,14.0,546,3,1,1,311,Almost Lost
102.0,Country 1,35,14.0,546,3,1,1,311,Almost Lost
103.0,All,35,14.0,546,3,1,1,311,Almost Lost
103.0,Country 1,35,14.0,546,3,1,1,311,Almost Lost
104.0,All,6,15.0,585,1,1,1,111,Best Customers
104.0,Country 1,6,15.0,585,1,1,1,111,Best Customers
105.0,All,35,14.0,1246,3,1,1,311,Almost Lost
105.0,Country 1,35,14.0,1246,3,1,1,311,Almost Lost
106.0,All,188,9.0,891,4,1,1,411,Lost Customers
106.0,Country 1,188,9.0,891,4,1,1,411,Lost Customers
107.0,All,6,15.0,1485,1,1,1,111,Best Customers
107.0,Country 1,6,15.0,1485,1,1,1,111,Best Customers
108.0,All,35,14.0,1386,3,1,1,311,Almost Lost
108.0,Country 1,35,14.0,1386,3,1,1,311,Almost Lost
109.0,All,35,14.0,1386,3,1,1,311,Almost Lost
109.0,Country 1,35,14.0,1386,3,1,1,311,Almost Lost
110.0,All,35,14.0,1246,3,1,1,311,Almost Lost
110.0,Country 1,35,14.0,1246,3,1,1,311,Almost Lost
111.0,All,35,14.0,1246,3,1,1,311,Almost Lost
111.0,Country 1,35,14.0,1246,3,1,1,311,Almost Lost
112.0,All,5,15.0,1345,1,1,1,111,Best Customers
112.0,Country 1,5,15.0,1345,1,1,1,111,Best Customers
113.0,All,4,15.0,635,1,1,1,111,Best Customers
