Customer_ID,Country,recency,frequency,monetary_value,r_quartile,f_quartile,m_quartile,RFMScore
68.0,Country 1,132,11.0,429,4,1,1,411
69.0,All,40,14.0,1246,3,1,1,311
69.0,Country 1,40,14.0,1246,3,1,1,311
70.0,All,40,14.0,1246,3,1,1,311
70.0,Country 1,40,14.0,1246,3,1,1,311
71.0,All,11,15.0,1335,1,1,1,111
71.0,Country 1,11,15.0,1335,1,1,1,111
72.0,All,11,15.0,1335,1,1,1,111
72.0,Country 1,11,15.0,1335,1,1,1,111
73.0,All,102,12.0,1188,3,1,1,311
73.0,Country 1,102,12.0,1188,3,1,1,311
74.0,All,163,10.0,990,4,1,1,411
74.0,Country 1,163,10.0,990,4,1,1,411
75.0,All,40,14.0,1386,3,1,1,311
75.0,Country 1,40,14.0,1386,3,1,1,311
76.0,All,40,14.0,1386,3,1,1,311
76.0,Country 1,40,14.0,1386,3,1,1,311
77.0,All,163,10.0,990,4,1,1,411
77.0,Country 1,163,10.0,990,4,1,1,411
78.0,All,11,15.0,1485,1,1,1,111
78.0,Country 1,11,15.0,1485,1,1,1,111
79.0,All,40,14.0,1246,3,1,1,311
79.0,Country 1,40,14.0,1246,3,1,1,311
80.0,All,40,14.0,1386,3,1,1,311
80.0,Country 1,40,14.0,1386,3,1,1,311
81.0,All,40,14.0,1246,3,1,1,311
81.0,Country 1,40,14.0,1246,3,1,1,311
82.0,All,40,14.0,546,3,1,1,311
82.0,Country 1,40,14.0,546,3,1,1,311
83.0,All,40,14.0,1246,3,1,1,311
83.0,Country 1,40,14.0,1246,3,1,1,311
84.0,All,163,10.0,390,4,1,2,412
84.0,Country 1,163,10.0,390,4,1,2,412
85.0,All,70,13.0,507,3,1,1,311
85.0,Country 1,70,13.0,507,3,1,1,311
86.0,All,101,12.0,1068,3,1,1,311
86.0,Country 1,101,12.0,1068,3,1,1,311
87.0,All,39,14.0,1246,3,1,1,311
87.0,Country 1,39,14.0,1246,3,1,1,311
88.0,All,38,14.0,546,3,1,1,311
88.0,Country 1,38,14.0,546,3,1,1,311
89.0,All,9,15.0,585,1,1,1,111
89.0,Country 1,9,15.0,585,1,1,1,111
90.0,All,9,15.0,1335,1,1,1,111
90.0,Country 1,9,15.0,1335,1,1,1,111
91.0,All,9,15.0,1485,1,1,1,111
91.0,Country 1,9,15.0,1485,1,1,1,111
92.0,All,37,14.0,546,3,1,1,311
92.0,Country 1,37,14.0,546,3,1,1,311
93.0,All,37,14.0,546,3,1,1,311
93.0,Country 1,37,14.0,546,3,1,1,311
94.0,All,129,11.0,429,4,1,1,411
94.0,Country 1,129,11.0,429,4,1,1,411
95.0,All,37,14.0,546,3,1,1,311
95.0,Country 1,37,14.0,546,3,1,1,311
96.0,All,36,14.0,546,3,1,1,311
96.0,Country 1,36,14.0,546,3,1,1,311
97.0,All,36,14.0,546,3,1,1,311
97.0,Country 1,36,14.0,546,3,1,1,311
98.0,All,98,12.0,468,3,1,1,311
98.0,Country 1,98,12.0,468,3,1,1,311
99.0,All,36,14.0,1386,3,1,1,311
99.0,Country 1,36,14.0,1386,3,1,1,311
100.0,All,36,14.0,1386,3,1,1,311
100.0,Country 1,36,14.0,1386,3,1,1,311
101.0,All,188,9.0,351,4,1,2,412
101.0,Country 1,188,9.0,351,4,1,2,412
102.0,All,35,14.0,546,3,1,1,311
102.0,Country 1,35,14.0,546,3,1,1,311
103.0,All,35,14.0,546,3,1,1,311
103.0,Country 1,35,14.0,546,3,1,1,311
104.0,All,6,15.0,585,1,1,1,111
104.0,Country 1,6,15.0,585,1,1,1,111
105.0,All,35,14.0,1246,3,1,1,311
105.0,Country 1,35,14.0,1246,3,1,1,311
106.0,All,188,9.0,891,4,1,1,411
106.0,Country 1,188,9.0,891,4,1,1,411
107.0,All,6,15.0,1485,1,1,1,111
107.0,Country 1,6,15.0,1485,1,1,1,111
108.0,All,35,14.0,1386,3,1,1,311
108.0,Country 1,35,14.0,1386,3,1,1,311
109.0,All,35,14.0,1386,3,1,1,311
109.0,Country 1,35,14.0,1386,3,1,1,311
110.0,All,35,14.0,1246,3,1,1,311
110.0,Country 1,35,14.0,1246,3,1,1,311
111.0,All,35,14.0,1246,3,1,1,311
111.0,Country 1,35,14.0,1246,3,1,1,311
112.0,All,5,15.0,1345,1,1,1,111
112.0,Country 1,5,15.0,1345,1,1,1,111
113.0,All,4,15.0,635,1,1,1,111
113.0,Country 1,4,15.0,635,1,1,1,111
114.0,All,4,15.0,585,1,1,1,111
114.0,Country 1,4,15.0,585,1,1,1,111
115.0,All,4,15.0,1475,1,1,1,111
115.0,Country 1,4,15.0,1475,1,1,1,111
116.0,All,4,15.0,1335,1,1,1,111
116.0,Country 1,4,15.0,1335,1,1,1,111
117.0,All,32,14.0,546,2,1,1,211
117.0,Country 1,32,14.0,546,2,1,1,211
118.0,All,124,11.0,979,4,1,1,411
118.0,Country 1,124,11.0,979,4,1,1,411
119.0,All,2,15.0,585,1,1,1,111
