Acquisition_Date_2,Subscription_Date_2,Country,TotalUsers,CohortPeriod
2015-06,2015-07,Country 2,106.0,2
2015-06,2015-08,All,500.0,3
2015-06,2015-08,Country 1,394.0,3
2015-06,2015-08,Country 2,106.0,3
2015-06,2015-09,All,490.0,4
2015-06,2015-09,Country 1,389.0,4
2015-06,2015-09,Country 2,101.0,4
2015-06,2015-10,All,458.0,5
2015-06,2015-10,Country 1,378.0,5
2015-06,2015-10,Country 2,80.0,5
2015-06,2015-11,All,442.0,6
2015-06,2015-11,Country 1,367.0,6
2015-06,2015-11,Country 2,75.0,6
2015-06,2015-12,All,427.0,7
2015-06,2015-12,Country 1,360.0,7
2015-06,2015-12,Country 2,67.0,7
2015-06,2016-01,All,421.0,8
2015-06,2016-01,Country 1,358.0,8
2015-06,2016-01,Country 2,63.0,8
2015-06,2016-02,All,403.0,9
2015-06,2016-02,Country 1,344.0,9
2015-06,2016-02,Country 2,59.0,9
2015-06,2016-03,All,289.0,10
2015-06,2016-03,Country 1,279.0,10
2015-06,2016-03,Country 2,10.0,10
2015-07,2015-07,All,552.0,1
2015-07,2015-07,Country 1,255.0,1
2015-07,2015-07,Country 2,297.0,1
2015-07,2015-08,All,552.0,2
2015-07,2015-08,Country 1,255.0,2
2015-07,2015-08,Country 2,297.0,2
2015-07,2015-09,All,501.0,3
2015-07,2015-09,Country 1,239.0,3
2015-07,2015-09,Country 2,262.0,3
2015-07,2015-10,All,475.0,4
2015-07,2015-10,Country 1,236.0,4
2015-07,2015-10,Country 2,239.0,4
2015-07,2015-11,All,403.0,5
2015-07,2015-11,Country 1,218.0,5
2015-07,2015-11,Country 2,185.0,5
2015-07,2015-12,All,389.0,6
2015-07,2015-12,Country 1,213.0,6
2015-07,2015-12,Country 2,176.0,6
2015-07,2016-01,All,368.0,7
2015-07,2016-01,Country 1,205.0,7
2015-07,2016-01,Country 2,163.0,7
2015-07,2016-02,All,343.0,8
2015-07,2016-02,Country 1,195.0,8
2015-07,2016-02,Country 2,148.0,8
2015-07,2016-03,All,172.0,9
2015-07,2016-03,Country 1,131.0,9
2015-07,2016-03,Country 2,41.0,9
2015-08,2015-08,All,683.0,1
2015-08,2015-08,Country 1,222.0,1
2015-08,2015-08,Country 2,461.0,1
2015-08,2015-09,All,529.0,2
2015-08,2015-09,Country 1,179.0,2
2015-08,2015-09,Country 2,350.0,2
2015-08,2015-10,All,482.0,3
2015-08,2015-10,Country 1,171.0,3
2015-08,2015-10,Country 2,311.0,3
2015-08,2015-11,All,365.0,4
2015-08,2015-11,Country 1,137.0,4
2015-08,2015-11,Country 2,228.0,4
2015-08,2015-12,All,360.0,5
2015-08,2015-12,Country 1,134.0,5
2015-08,2015-12,Country 2,226.0,5
2015-08,2016-01,All,326.0,6
2015-08,2016-01,Country 1,120.0,6
2015-08,2016-01,Country 2,206.0,6
2015-08,2016-02,All,286.0,7
2015-08,2016-02,Country 1,103.0,7
2015-08,2016-02,Country 2,183.0,7
2015-08,2016-03,All,127.0,8
2015-08,2016-03,Country 1,72.0,8
2015-08,2016-03,Country 2,55.0,8
2015-09,2015-09,All,784.0,1
